time,direction,bytes,latency,bps,duration,serverTime,responseSize,loadedLatencies
1732268215095,download,100000,10.099975001490115,51435979.86043917,15.599975001490115,49.000025,100300,
1732268217111,download,100000,42.10019300149012,18747579.01012717,42.80019300447035,51.999807,100300,
1732268217187,download,100000,10.100036001490118,67428367.45203762,11.900035998509885,62.999964,100300,77.10010099403954
1732268217307,download,100000,69.70021400298023,11397692.625367083,70.40021400596046,48.999786,100300,
1732268217367,download,100000,15.40020399850988,41574690.097778365,19.300203997019764,38.999796,100300,
1732268217433,download,100000,10.79995399701977,62687725.29860841,12.79995399701977,52.000046,100300,
1732268217496,download,100000,12.000069000000003,58569048.10200765,13.700068995529655,46.999931,100300,
1732268217638,download,100000,88.30006900447034,8572643.252936339,93.60006900149011,46.999931,100300,
1732268217690,download,100000,12.500059,54584814.94829464,14.700058995529652,36.999941,100300,87.70003800298024
1732268217737,download,100000,8.90007999850988,64709259.94803457,12.40007999850988,33.99992,100300,
1732268217909,download,1000000,94.30008999701977,64276258.75611817,124.50009,43.99991,1000300,63.59993500149012
1732268217986,download,1000000,14.499893,210590066.6615035,37.999893,38.000107,1000300,
1732268218162,download,1000000,11.700119995529654,65647187.2226034,121.9001199985099,50.99988,1000300,
1732268218249,download,1000000,11.099975001490115,213397475.5983171,37.499975,49.000025,1000300,
1732268218369,download,1000000,45.70013000298023,137734631.57130215,58.100130001490115,60.99987,1000300,
1732268218463,download,1000000,10.299881997019767,197104021.13253167,40.599882001490116,51.000118,1000300,92.69991400298022
1732268218572,download,1000000,12.500139000000004,219243000.69103846,36.500139000000004,70.999861,1000300,
1732268218691,download,1000000,57.20009899552965,125037306.58291636,64.000099,53.999901,1000300,
1732268218880,upload,100000,103.49991,4357723.577235771,184.5,81.00009,381,9.90011099850988
1732268218913,upload,100000,13.899967998509883,26889632.108363498,29.899999998509884,16.000032,381,
1732268218942,upload,100000,9.299946997019767,28409893.995924663,28.299999997019768,19.000053,376,
1732268218972,upload,100000,11.600205994039536,29130434.788899668,27.599999994039536,15.999794,381,
1732268218999,upload,100000,11.100133994039535,30804597.708184276,26.099999994039536,14.999866,380,
1732268219030,upload,100000,10.20004000298023,29558823.526173078,27.200000002980232,16.99996,380,
1732268219063,upload,100000,9.20018500298023,28510638.294859275,28.200000002980232,18.999815,381,
1732268219096,upload,100000,13.600206001490116,27162162.16079477,29.600000001490116,15.999794,376,
1732268224489,upload,1000000,9.599960001490103,33140972.79452026,242.60000000149012,233.00004,381,12.800057004470347
1732268224726,upload,1000000,11.500065000000006,35032679.738562085,229.5,217.999935,380,
1732268224859,upload,1000000,13.400228998509888,62616822.430633225,128.39999999850988,114.999771,381,9.500139000000004
1732268225083,upload,1000000,12.500024999999994,37658079.62529273,213.5,200.999975,381,
1732268225283,upload,1000000,87.20021900298023,41831425.597686425,192.20000000298023,104.999781,381,
1732268225400,upload,1000000,12.400094998509886,71530249.11126857,112.39999999850988,99.999905,381,14.100183001490116
1732268225933,download,10000000,55.29992399701977,167054526.4071684,478.8999239985099,45.000076,10000300,101.80002699701977
1732268226555,download,10000000,94.70003799552966,138508301.13834855,577.6000379940396,39.999962,10000300,32.29997499701977
1732268226932,download,10000000,13.10003800149012,239599852.93669546,333.9000379985099,39.999962,10000300,68.10003800149012
1732268227339,download,10000000,95.39987200596048,219847288.09877023,363.89987200596045,41.000128,10000300,83.90027699850988
1732268227655,download,10000000,15.399986998509881,288089318.4886661,277.6999870029802,36.000013,10000300,76.30011100447035
1732268227930,download,10000000,96.19987200298024,345135652.1821424,231.79987200447036,41.000128,10000300,
1732268228954,upload,10000000,12.799959997019755,80739104.23804037,995.7999999970198,983.00004,376,85.90011099850989 72.19988199552965
1732268229580,upload,10000000,13.799889004470401,134493141.5178969,597.8000000044703,584.000111,381,82.10013199403954
1732268230286,upload,10000000,92.3001070044703,118357132.34133798,679.3000000044703,586.999893,381,66.29990300447035 77.79994499701976
1732268230822,upload,10000000,14.399948998509899,157523510.97224668,510.3999999985099,496.000051,381,77.70018300298022
1732268231860,download,25000000,61.59995400149012,205235925.54217812,974.499954,52.000046,25000300,144.00003800000002 26.200235002980236
1732268232534,download,25000000,85.00018299999999,321702334.12821954,621.7001830029802,41.999817,25000300,64.499945
1732268233077,download,25000000,14.800016997019767,403882053.98992443,495.20001699552967,42.999983,25000300,77.09999599403955
1732268233493,download,25000000,13.499872000000003,539963469.5359846,370.39987199850987,41.000128,25000300,71.20011799552965
1732268234941,upload,25000000,88.3000799970198,146469430.88277817,1372.2999999970198,1283.99992,376,69.80014100447035 87.20003800298024 85.80002700447035
1732268235717,upload,25000000,9.299963997019745,288668677.2955052,696.2999999970198,687.000036,381,47.500132
1732268236386,upload,25000000,9.89994099850992,336176618.1644103,597.8999999985099,588.000059,380,24.200256002980232 72.60001700149012
1732268236881,upload,25000000,12.499924000000021,464739884.39306355,432.5,420.000076,381,92.90017400596047
1732268239608,download,100000000,14.800057004470347,305484337.3247392,2618.8000570044705,59.999943,100000300,94.60001700149012 37.200068995529655 19.999851 12.200017002980232 25.900037998509887 18.999912000000002
1732268240707,download,100000000,12.600120001490119,798086895.681127,1002.4001199985099,50.99988,100000300,14.100090001490116 16.100059001490116
1732268241781,download,100000000,9.600036001490118,828846218.5651326,965.2000360029803,62.999964,100000300,10.600080001490113 19.700100995529652 8.099955994039536
1732268244693,upload,50000000,21.399999998509884,145053041.7840139,2771.39999999851,2750,381,484.999819 190.89992400596046 172.69984199552965 180.500183
1732268245718,upload,50000000,11.00006099999996,446666666.66666657,900,888.999939,376,28.799986997019765 63.20008799552966
1732268246460,upload,50000000,10.999865999999997,647342995.169082,621,610.000134,381,28.200132002980233 13.19998700298023
1732268250601,download,250000000,10.000036000000001,502576299.0092356,3979.500036,62.999964,250000300,244.20009000298023 97.10009000149012 11.900213998509884 30.500110999999997 37.499903 15.099848994039533 19.59983000149012 21.19992399552965
1732268252990,download,250000000,11.000036000000001,899079508.9382503,2224.500036,62.999964,250000300,11.399871998509887 14.800090004470349 24.80023499701977 14.600111001490113 20.200090002980232